Time,temperature,humidity,co2,tvoc
2021-04-11 23:04:32+00:00,17.180833333333332,65.08333333333333,516.1666666666666,16.833333333333332
2021-04-11 22:04:32+00:00,17.215,65.01416666666667,504.41666666666674,15.083333333333336
2021-04-11 21:04:32+00:00,17.245,64.98583333333333,484.83333333333326,12.166666666666664
2021-04-11 20:04:32+00:00,17.27583333333333,64.9225,477.0,11.0
2021-04-11 19:04:32+00:00,17.285833333333333,64.96416666666667,477.0,11.0
2021-04-11 18:04:32+00:00,17.311666666666667,64.85416666666667,477.0,11.0
2021-04-11 17:04:32+00:00,17.323333333333334,64.79833333333333,477.41666666666674,11.083333333333336
2021-04-11 16:04:32+00:00,17.331666666666663,64.77333333333333,478.66666666666674,11.333333333333336
2021-04-11 15:04:32+00:00,17.333333333333332,64.72666666666666,479.91666666666674,11.583333333333336
2021-04-11 14:04:32+00:00,17.331666666666667,64.71333333333334,481.16666666666674,11.833333333333336
2021-04-11 13:04:32+00:00,17.34,64.61500000000001,482.0,12.0
2021-04-11 12:04:32+00:00,17.34583333333333,64.59749999999998,482.0,12.0
2021-04-11 11:04:32+00:00,17.35333333333333,64.56416666666668,482.0,12.0
2021-04-11 10:04:32+00:00,17.360833333333336,64.49666666666667,482.0,12.0
2021-04-11 09:04:32+00:00,17.38916666666667,64.47416666666666,532.8333333333334,19.666666666666668
2021-04-11 08:04:32+00:00,17.405833333333334,64.40166666666667,787.0,58.0
2021-04-11 07:04:32+00:00,17.426666666666666,64.33833333333332,787.5,58.08333333333334
2021-04-11 06:04:32+00:00,17.483333333333334,64.245,789.5,58.41666666666666
2021-04-11 05:04:32+00:00,17.601666666666667,64.05,793.0,59.0
2021-04-11 04:04:32+00:00,17.56833333333333,64.16333333333334,792.5,58.91666666666666
2021-04-11 03:04:32+00:00,17.590833333333332,64.14083333333333,792.5,58.91666666666666
2021-04-11 02:04:32+00:00,17.657500000000006,64.06583333333333,793.0,59.0
2021-04-11 01:04:32+00:00,17.679999999999996,64.12583333333333,793.0,59.0
2021-04-11 00:04:32+00:00,17.690833333333334,64.21083333333334,786.4166666666665,58.0
2021-04-10 23:04:32+00:00,17.7925,64.01166666666667,720.5833333333335,48.0
2021-04-10 22:04:32+00:00,17.831666666666663,64.02583333333334,714.0,47.0
2021-04-10 21:04:32+00:00,17.813333333333333,64.12666666666667,713.6666666666665,47.0
2021-04-10 20:04:32+00:00,17.889166666666664,63.99166666666667,714.4166666666665,47.08333333333334
2021-04-10 19:04:32+00:00,17.929166666666664,63.95333333333333,714.0,47.0
2021-04-10 18:04:32+00:00,17.915833333333328,64.02,714.0,47.0
2021-04-10 17:04:32+00:00,18.006666666666664,63.85416666666666,716.0833333333335,47.41666666666666
2021-04-10 16:04:32+00:00,18.0025,63.86083333333334,714.8333333333335,47.16666666666666
2021-04-10 15:04:32+00:00,17.977500000000006,64.01333333333334,714.0,47.0
2021-04-10 14:04:32+00:00,18.021666666666665,63.89083333333333,714.4166666666665,47.08333333333334
2021-04-10 13:04:32+00:00,18.058333333333334,63.83333333333334,715.25,47.25
2021-04-10 12:04:32+00:00,18.059166666666666,63.89083333333334,714.0,47.0
2021-04-10 11:04:32+00:00,18.100833333333327,63.89750000000001,714.0,47.0
2021-04-10 10:04:32+00:00,18.152500000000003,63.9325,714.0,47.0
2021-04-10 09:04:32+00:00,18.19416666666667,63.98916666666666,708.6666666666665,46.25
2021-04-10 08:04:32+00:00,18.238333333333333,64.02833333333334,655.3333333333334,38.75
2021-04-10 07:04:32+00:00,18.295,64.03583333333333,650.0,38.0
2021-04-10 06:04:32+00:00,18.354166666666664,64.0625,650.0,38.0
2021-04-10 05:04:32+00:00,18.424166666666668,64.07416666666667,650.0,38.0
2021-04-10 04:04:32+00:00,18.48666666666666,64.13333333333334,650.0,38.0
2021-04-10 03:04:32+00:00,18.5525,64.2225,648.6666666666666,37.66666666666666
2021-04-10 02:04:32+00:00,18.640000000000004,64.3275,646.0,37.0
2021-04-10 01:04:32+00:00,18.73,64.4825,610.0,31.66666666666667
2021-04-10 00:04:32+00:00,18.82583333333333,64.64250000000001,592.0,29.0
2021-04-09 23:04:32+00:00,18.935,64.71,589.5,28.58333333333333
2021-04-09 22:04:32+00:00,19.0575,64.915,586.0,28.0
2021-04-09 21:04:32+00:00,19.203333333333333,65.30333333333333,565.1666666666666,24.58333333333333
2021-04-09 20:04:32+00:00,19.37,65.6675,529.3333333333334,19.0
2021-04-09 19:04:32+00:00,19.560833333333328,66.38416666666666,521.3333333333334,18.0
2021-04-09 18:04:32+00:00,19.851666666666667,67.58749999999999,465.08333333333326,9.25
2021-04-09 17:04:32+00:00,20.280833333333334,69.69000000000001,419.5,2.583333333333333
2021-04-09 16:04:32+00:00,20.555833333333336,62.22416666666666,431.08333333333326,4.5
2021-04-09 15:04:32+00:00,20.52833333333333,57.545,456.83333333333326,8.166666666666666
2021-04-09 14:04:32+00:00,20.77833333333333,57.04750000000001,434.41666666666674,4.666666666666667
2021-04-09 13:04:32+00:00,21.015000000000004,56.03916666666668,430.16666666666674,4.25
2021-04-09 12:04:32+00:00,20.580833333333327,57.50333333333333,431.25,4.416666666666667
2021-04-09 11:04:32+00:00,20.345,55.14250000000001,452.58333333333326,7.583333333333332
2021-04-09 10:04:32+00:00,20.20416666666668,57.79750000000001,447.25,6.583333333333332
2021-04-09 09:04:32+00:00,20.0075,54.7725,497.0,14.083333333333336
2021-04-09 08:04:32+00:00,20.699166666666667,53.55666666666665,454.58333333333326,7.416666666666668
