Time,temperature,humidity,co2,tvoc
2021-04-11 23:00:39+00:00,18.471000000000018,62.10733333333333,519.0666666666667,17.483333333333334
2021-04-11 22:00:39+00:00,18.515,62.03633333333339,521.7,18.08333333333333
2021-04-11 21:00:39+00:00,18.56966666666665,61.91983333333332,533.8333333333334,19.816666666666666
2021-04-11 20:00:39+00:00,18.632833333333327,61.58466666666665,550.6833333333333,22.566666666666666
2021-04-11 19:00:39+00:00,18.6705,61.34983333333332,548.5833333333334,22.11666666666667
2021-04-11 18:00:39+00:00,18.70050000000001,61.28083333333335,541.35,20.983333333333334
2021-04-11 17:00:39+00:00,18.745000000000008,61.212666666666664,541.3666666666667,21.0
2021-04-11 16:00:39+00:00,18.80433333333332,61.09683333333332,543.35,21.45
2021-04-11 15:00:39+00:00,18.838333333333328,60.95333333333333,546.4,22.0
2021-04-11 14:00:39+00:00,18.85516666666668,60.838999999999984,549.1666666666666,22.1
2021-04-11 13:00:39+00:00,18.840666666666664,60.72383333333333,558.4833333333332,23.75
2021-04-11 12:00:39+00:00,18.78316666666665,60.74616666666665,558.3833333333333,23.58333333333333
2021-04-11 11:00:39+00:00,18.778166666666657,60.69499999999999,565.5166666666668,24.8
2021-04-11 10:00:39+00:00,18.771666666666654,60.65433333333332,571.5833333333334,25.316666666666666
2021-04-11 09:00:39+00:00,18.727833333333347,60.72216666666665,572.7333333333332,25.78333333333333
2021-04-11 08:00:39+00:00,18.726833333333346,60.76100000000001,571.0666666666667,25.48333333333333
2021-04-11 07:00:39+00:00,18.72266666666668,60.76033333333334,571.0833333333334,25.53333333333333
2021-04-11 06:00:39+00:00,18.707833333333344,60.73499999999999,572.8166666666667,25.78333333333333
2021-04-11 05:00:39+00:00,18.72466666666668,60.69466666666665,572.15,25.68333333333333
2021-04-11 04:00:39+00:00,18.7505,60.60516666666665,1056.0333333333333,205.7
2021-04-11 03:00:39+00:00,18.774333333333328,60.572499999999984,1834.783333333333,495.2
2021-04-11 02:00:39+00:00,18.812666666666654,60.49650000000001,1833.8,493.86666666666673
2021-04-11 01:00:39+00:00,18.831666666666674,60.42766666666667,1836.0,496.75
2021-04-11 00:00:39+00:00,18.878,60.36716666666667,1835.2,495.75
2021-04-10 23:00:39+00:00,18.926833333333327,60.39000000000002,1832.8666666666666,492.76666666666665
2021-04-10 22:00:39+00:00,18.964333333333357,60.39566666666665,1830.7666666666669,489.63333333333327
2021-04-10 21:00:39+00:00,19.002666666666673,60.34133333333333,1827.9333333333327,485.0
2021-04-10 20:00:39+00:00,19.038166666666655,60.2901666666667,1823.283333333333,479.1
2021-04-10 19:00:39+00:00,19.06683333333332,60.23583333333333,1821.666666666667,477.35
2021-04-10 18:00:39+00:00,19.105500000000006,60.2125,1818.1833333333327,472.95
2021-04-10 17:00:39+00:00,19.13766666666667,60.17283333333334,1810.7666666666669,462.03333333333336
2021-04-10 16:00:39+00:00,19.147833333333327,60.13399999999999,1800.416666666667,449.78333333333336
2021-04-10 15:00:39+00:00,19.16883333333333,60.01233333333334,1790.033333333333,438.53333333333336
2021-04-10 14:00:39+00:00,19.193666666666672,59.84033333333332,1778.783333333333,425.26666666666665
2021-04-10 13:00:39+00:00,19.22216666666668,59.70283333333336,1753.7666666666669,395.31666666666666
2021-04-10 12:00:39+00:00,19.254833333333334,59.60733333333334,1715.9333333333334,355.11666666666673
2021-04-10 11:00:39+00:00,19.270333333333326,59.31716666666666,1702.283333333333,340.5833333333333
2021-04-10 10:00:39+00:00,19.28333333333332,58.992666666666686,1695.1333333333334,333.68333333333334
