Time,temperature,humidity,tvoc,co2
2020-07-07T23:34:57Z,27.58333333333333,65.39666666666666,8.5,458.16666666666674
2020-07-07T23:04:57Z,27.59833333333334,65.38833333333334,6.333333333333332,444.83333333333326
2020-07-07T22:34:57Z,27.61333333333333,65.38000000000001,7.0,449.5
2020-07-07T22:04:57Z,27.63666666666667,65.35333333333334,7.0,448.0
2020-07-07T21:34:57Z,27.655,65.39,7.0,450.5
2020-07-07T21:04:57Z,27.6825,65.4075,7.0,448.0
2020-07-07T20:34:57Z,27.71,65.42999999999999,8.0,454.5
2020-07-07T20:04:57Z,27.74833333333333,65.43666666666668,0.8333333333333334,408.66666666666674
2020-07-07T19:34:57Z,27.79666666666667,65.36999999999999,2.5,419.66666666666674
2020-07-07T19:04:57Z,27.84833333333333,65.27333333333334,4.166666666666667,430.5
2020-07-07T18:34:57Z,27.905,65.18333333333332,6.5,446.5
2020-07-07T18:04:57Z,27.96333333333334,65.01333333333334,8.5,461.33333333333326
2020-07-07T17:34:57Z,28.02666666666667,64.83833333333334,10.166666666666666,471.5
2020-07-07T17:04:57Z,28.06,64.65166666666669,13.833333333333336,494.5
2020-07-07T16:34:57Z,28.09833333333333,64.51166666666667,15.666666666666664,506.66666666666674
2020-07-07T16:04:57Z,28.135,64.38,16.333333333333332,510.83333333333326
2020-07-07T15:34:57Z,28.149999999999995,64.25833333333334,15.166666666666664,502.5
2020-07-07T15:04:57Z,28.18333333333333,64.11833333333334,14.166666666666664,497.0
2020-07-07T14:34:57Z,28.21666666666667,63.90833333333333,12.0,482.16666666666674
2020-07-07T14:04:57Z,28.24,63.72333333333333,9.833333333333334,468.33333333333326
2020-07-07T13:34:57Z,28.24666666666667,63.62666666666666,8.666666666666666,460.33333333333326
2020-07-07T13:04:57Z,28.25333333333333,63.61333333333334,9.0,461.5
2020-07-07T12:34:57Z,28.25833333333333,63.54833333333334,8.333333333333334,456.66666666666674
2020-07-07T12:04:57Z,28.28,63.50166666666666,9.666666666666666,466.0
2020-07-07T11:34:57Z,28.29333333333333,63.51499999999999,11.166666666666664,477.83333333333326
2020-07-07T11:04:57Z,28.305,63.51166666666666,11.833333333333336,481.33333333333326
2020-07-07T10:34:57Z,28.31166666666667,63.53833333333333,12.0,483.5
2020-07-07T10:04:57Z,28.35,63.53666666666667,12.833333333333336,489.66666666666674
2020-07-07T09:34:57Z,28.385,63.70333333333334,14.0,496.16666666666674
2020-07-07T09:04:57Z,28.34666666666667,64.05666666666667,15.833333333333336,508.66666666666674
2020-07-07T08:34:57Z,28.22166666666667,64.67,24.0,561.6666666666666
2020-07-07T08:14:57Z,28.0425,65.47999999999999,24.75,566.5
2020-07-07T07:34:57Z,27.81166666666667,66.62833333333333,24.66666666666667,563.6666666666666
2020-07-07T07:04:57Z,27.54166666666667,67.69333333333334,23.33333333333333,554.3333333333334
2020-07-07T06:34:57Z,27.496666666666666,68.16166666666668,20.166666666666668,535.1666666666666
2020-07-07T06:04:57Z,27.45333333333333,68.36833333333334,19.0,531.0
2020-07-07T05:34:57Z,27.445000000000004,68.57166666666667,19.0,526.8333333333334
2020-07-07T05:04:57Z,27.455,68.705,18.166666666666668,521.3333333333334
2020-07-07T04:34:57Z,27.46333333333333,68.83333333333333,17.333333333333332,516.3333333333334
2020-07-07T04:04:57Z,27.496666666666666,69.02,19.0,527.6666666666666
2020-07-07T03:34:57Z,27.53,69.15166666666666,18.83333333333333,527.8333333333334
2020-07-07T03:04:57Z,27.56,69.24,18.83333333333333,527.6666666666666
2020-07-07T02:34:57Z,27.59,69.09833333333333,18.83333333333333,526.5
2020-07-07T02:04:57Z,27.615,68.98333333333333,16.666666666666668,511.83333333333326
2020-07-07T01:34:57Z,27.646666666666665,68.86666666666666,16.0,508.33333333333326
2020-07-07T01:04:57Z,27.6575,68.7775,14.75,501.75
2020-07-07T00:34:57Z,27.68,68.69333333333333,14.833333333333336,501.16666666666674
2020-07-07T00:04:57Z,27.70000000000001,68.545,14.833333333333336,501.0
2020-07-06T23:34:57Z,27.716666666666665,68.37833333333333,15.166666666666664,502.16666666666674
2020-07-06T23:14:57Z,27.7325,68.335,14.25,497.5
2020-07-06T22:34:57Z,27.75666666666667,68.185,11.833333333333336,482.0
2020-07-06T22:04:57Z,27.77,67.97833333333334,11.333333333333336,477.83333333333326
2020-07-06T21:34:57Z,27.796666666666663,67.81666666666668,12.5,485.83333333333326
2020-07-06T21:04:57Z,27.816666666666666,67.7,14.333333333333336,496.33333333333326
2020-07-06T20:34:57Z,27.86333333333333,67.50166666666667,16.333333333333332,510.33333333333326
2020-07-06T20:04:57Z,27.903333333333336,67.26833333333333,17.5,520.5
2020-07-06T19:34:57Z,27.978,66.97,18.6,524.8
2020-07-06T19:04:57Z,28.0,66.81500000000001,21.33333333333333,541.8333333333334
2020-07-06T18:34:57Z,28.024999999999995,66.67,23.0,555.0
2020-07-06T18:04:57Z,28.088,66.47,23.0,554.2
2020-07-06T17:34:57Z,28.12833333333333,66.25,26.66666666666667,579.3333333333334
2020-07-06T17:04:57Z,28.18666666666667,65.55666666666666,32.333333333333336,614.1666666666666
2020-07-06T16:34:57Z,28.215000000000003,65.23,32.833333333333336,618.3333333333334
2020-07-06T16:04:57Z,28.24,65.06,25.5,569.3333333333334
2020-07-06T15:34:57Z,28.301666666666666,64.655,23.0,553.3333333333334
2020-07-06T15:04:57Z,28.35166666666667,64.28833333333334,21.166666666666668,542.5
2020-07-06T14:34:57Z,28.395,63.92166666666666,18.666666666666668,525.1666666666666
