,Time,temperature,humidity,tvoc,co2
0,2020-09-07T19:01:30Z,26.0533333333333,61.6333333333334,191.833333333333,1529.66666666667
1,2020-09-07T18:31:30Z,26.065,61.6783333333333,174,1504.66666666667
2,2020-09-07T18:01:30Z,26.1116666666667,61.8816666666667,157.333333333333,1436
3,2020-09-07T17:31:30Z,26.1316666666667,62.2366666666667,136.833333333333,1301.66666666667
4,2020-09-07T17:01:30Z,26.1333333333333,62.7333333333333,96.3333333333333,1035
5,2020-09-07T16:31:30Z,26.045,63.1083333333333,43.8333333333333,691.333333333334
6,2020-09-07T16:01:30Z,25.9733333333333,58.1483333333333,43.4370284834488,406.5
7,2020-09-07T15:31:30Z,26.1433333333333,55.5566666666667,43.4370284834488,400.5
8,2020-09-07T15:01:30Z,26.325,55.145,2.5,412.166666666667
9,2020-09-07T14:31:30Z,26.3666666666667,53.9066666666667,7.66666666666667,453.5
10,2020-09-07T14:01:30Z,26.355,53.7216666666667,22,548.333333333333
11,2020-09-07T13:31:30Z,26.3616666666667,53.8816666666667,29.5,598.5
12,2020-09-07T13:01:30Z,26.2983333333333,54.465,20.1666666666667,535.666666666667
13,2020-09-07T12:31:30Z,26.2233333333333,53.5716666666667,4.5,433
14,2020-09-07T12:01:30Z,26.2366666666667,53.8533333333333,3.83333333333333,427
15,2020-09-07T11:31:30Z,26.1916666666667,54.8183333333333,1.66666666666667,414.666666666667
16,2020-09-07T11:01:30Z,26.0933333333333,54.8833333333333,4.16666666666667,431.333333333333
17,2020-09-07T10:31:30Z,25.9283333333333,53.9966666666667,3.5,426
18,2020-09-07T10:01:30Z,25.7266666666667,53.7016666666667,43.4370284834488,402
19,2020-09-07T09:31:30Z,25.6183333333333,52.9383333333333,43.4370284834488,403.833333333333
20,2020-09-07T09:01:30Z,25.465,52.425,43.4370284834488,400.5
21,2020-09-07T08:31:30Z,25.3566666666667,52.0166666666667,43.4370284834488,400
22,2020-09-07T08:01:30Z,25.2883333333333,51.0983333333333,43.4370284834488,404
23,2020-09-07T07:31:30Z,25.715,51.1183333333333,43.4370284834488,416
24,2020-09-07T07:01:30Z,26.2016666666667,60.505,4.66666666666667,432.5
25,2020-09-07T06:31:30Z,26.225,63.5983333333333,3.16666666666667,425.5
26,2020-09-07T06:01:30Z,26.24,63.6316666666667,2.83333333333333,423
27,2020-09-07T05:31:30Z,26.2583333333333,63.555,2.66666666666667,418.833333333333
28,2020-09-07T05:01:30Z,26.2883333333333,63.665,2.5,418.166666666667
29,2020-09-07T04:31:30Z,26.3016666666667,63.8516666666667,1,410.333333333333
30,2020-09-07T04:01:30Z,26.31,63.9716666666667,43.4370284834488,406.333333333333
31,2020-09-07T03:31:30Z,26.3266666666667,64.0283333333333,43.4370284834488,400.5
32,2020-09-07T03:01:30Z,26.3533333333333,64.2333333333333,43.4370284834488,401.166666666667
33,2020-09-07T02:31:30Z,26.3833333333333,64.6316666666667,43.4370284834488,402.333333333333
34,2020-09-07T02:01:30Z,26.4233333333333,65.0933333333333,43.4370284834488,401.5
35,2020-09-07T01:31:30Z,26.43,65.3916666666667,1,403.166666666667
36,2020-09-07T01:01:30Z,26.4633333333333,65.545,1,404.333333333333
37,2020-09-07T00:31:30Z,26.4866666666667,65.785,1,407.833333333333
38,2020-09-07T00:01:30Z,26.5216666666667,66.015,1,408.666666666667
39,2020-09-06T23:31:30Z,26.5433333333333,66.145,1.66666666666667,413
40,2020-09-06T23:01:30Z,26.5666666666667,66.25,1.83333333333333,415.5
41,2020-09-06T22:31:30Z,26.6033333333333,66.3033333333333,2.33333333333333,417.833333333333
42,2020-09-06T22:01:30Z,26.65,66.2866666666667,2.33333333333333,418.5
43,2020-09-06T21:31:30Z,26.6816666666667,66.1,3.5,426
44,2020-09-06T21:01:30Z,26.74,65.8283333333333,43.4370284834488,415
45,2020-09-06T20:31:30Z,26.75,65.0166666666667,1,407.666666666667
46,2020-09-06T20:01:30Z,26.7766666666667,64.8366666666667,1,409
47,2020-09-06T19:31:30Z,26.79,64.6733333333333,2.16666666666667,416.833333333333
48,2020-09-06T19:01:30Z,26.8066666666667,64.5833333333333,1.66666666666667,414.333333333333
49,2020-09-06T18:31:30Z,26.8333333333333,64.4666666666667,1.66666666666667,414.333333333333
50,2020-09-06T18:01:30Z,26.8633333333333,64.385,1.33333333333333,412.333333333333
51,2020-09-06T17:31:30Z,26.88,64.3333333333333,43.4370284834488,407.666666666667
52,2020-09-06T17:01:30Z,26.935,64.235,1,408.666666666667
53,2020-09-06T16:31:30Z,26.9666666666667,64.11,1,409
54,2020-09-06T16:01:30Z,26.985,64.0183333333333,43.4370284834488,405.166666666667
55,2020-09-06T15:31:30Z,27.0016666666667,63.93,43.4370284834488,404.666666666667
56,2020-09-06T15:01:30Z,27.025,63.8333333333333,43.4370284834488,405.5
57,2020-09-06T14:31:30Z,27.05,63.7083333333333,43.4370284834488,403.666666666667
58,2020-09-06T14:01:30Z,27.0533333333333,63.62,43.4370284834488,400.5
59,2020-09-06T13:31:30Z,27.06,63.515,43.4370284834488,403
60,2020-09-06T13:01:30Z,27.085,63.4666666666667,1,407.166666666667
61,2020-09-06T12:31:30Z,27.08,63.4016666666667,1,408
62,2020-09-06T12:01:30Z,27.08,63.3233333333333,1,407
63,2020-09-06T11:31:30Z,27.0683333333333,63.255,1,412.166666666667
64,2020-09-06T11:01:30Z,27.0483333333333,63.18,43.4370284834488,409.666666666667
65,2020-09-06T10:31:30Z,27.01,63.2116666666667,43.4370284834488,407.166666666667
